                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.69435,                 0.4668,                0.99657,                0.98545,                 0.9518,                0.97873,                0.85041,                0.53123,                0.39098,                0.94022,               0.004951,               0.004951,               0.004951
                     53,                0.69387,                0.47404,                0.99486,                0.98598,                0.95266,                0.98085,                0.86629,                0.49707,                0.38506,                 0.9223,               0.004852,               0.004852,               0.004852
                     54,                0.69583,                 0.4724,                0.99969,                0.98118,                 0.9542,                0.98265,                0.86684,                0.49503,                0.38323,                0.92036,               0.004753,               0.004753,               0.004753
                     55,                0.66003,                0.46517,                0.98651,                0.98227,                0.94885,                0.97899,                0.85743,                0.51392,                0.38652,                0.92434,               0.004654,               0.004654,               0.004654
                     56,                0.66462,                0.45447,                0.98338,                0.98033,                0.95631,                0.98052,                0.87112,                0.47891,                0.36716,                0.91568,               0.004555,               0.004555,               0.004555
                     57,                0.65211,                0.45249,                0.96838,                0.98675,                0.95651,                0.98359,                0.86575,                0.50038,                0.37325,                0.92594,               0.004456,               0.004456,               0.004456
                     58,                0.65251,                0.45642,                0.98429,                0.97959,                0.96061,                0.98231,                 0.8818,                  0.455,                0.36424,                0.90754,               0.004357,               0.004357,               0.004357
                     59,                   0.65,                0.45146,                0.97901,                 0.9847,                 0.9539,                0.98285,                0.86274,                0.50627,                0.36576,                0.92473,               0.004258,               0.004258,               0.004258
                     60,                0.64536,                0.44164,                0.97665,                0.98509,                0.95727,                0.98393,                0.87421,                0.47485,                0.35946,                 0.9163,               0.004159,               0.004159,               0.004159
                     61,                0.66289,                0.45381,                0.97576,                0.98805,                0.95458,                0.98079,                0.85402,                0.52546,                0.37644,                 0.9265,                0.00406,                0.00406,                0.00406
                     62,                0.65627,                 0.4528,                0.98683,                0.98705,                0.95325,                0.98101,                0.88116,                0.44981,                0.35271,                0.90319,               0.003961,               0.003961,               0.003961
                     63,                0.63155,                0.43723,                0.98055,                0.98813,                0.95054,                 0.9824,                0.86522,                0.49911,                0.36463,                0.91469,               0.003862,               0.003862,               0.003862
                     64,                0.64541,                0.44057,                0.97303,                0.98702,                0.95593,                0.98251,                0.84969,                0.55432,                0.37814,                0.93541,               0.003763,               0.003763,               0.003763
                     65,                0.62032,                0.42812,                0.96833,                 0.9856,                0.96305,                0.98353,                0.88015,                0.45945,                0.34784,                0.90124,               0.003664,               0.003664,               0.003664
                     66,                0.63075,                0.42443,                0.96309,                0.98699,                 0.9617,                0.98627,                0.88705,                0.44192,                0.34239,                0.90008,               0.003565,               0.003565,               0.003565
                     67,                0.62834,                0.43613,                0.97088,                0.98363,                0.95973,                 0.9844,                0.88385,                 0.4516,                0.34773,                0.90396,               0.003466,               0.003466,               0.003466
                     68,                 0.6037,                 0.4262,                0.95789,                0.98212,                0.96228,                0.98501,                0.89072,                0.42497,                0.33436,                0.89457,               0.003367,               0.003367,               0.003367
                     69,                0.62901,                0.43221,                0.96819,                0.98656,                  0.954,                0.98297,                0.88352,                0.44717,                0.34557,                 0.9001,               0.003268,               0.003268,               0.003268
                     70,                0.61702,                0.42363,                0.96852,                 0.9827,                0.96179,                0.98385,                0.88838,                0.44013,                0.33371,                0.89731,               0.003169,               0.003169,               0.003169
                     71,                0.60033,                0.41252,                0.95154,                0.98559,                0.96119,                0.98195,                0.88432,                0.44778,                0.33495,                0.90596,                0.00307,                0.00307,                0.00307
                     72,                0.60877,                0.42031,                0.97881,                0.97994,                0.95958,                0.98204,                0.88233,                0.45429,                0.34482,                0.90551,               0.002971,               0.002971,               0.002971
                     73,                0.63157,                 0.4182,                0.95787,                0.97955,                0.96459,                0.98606,                0.88286,                0.45255,                0.33798,                0.90223,               0.002872,               0.002872,               0.002872
                     74,                0.59818,                 0.4115,                0.95038,                0.98735,                0.96132,                0.98295,                0.88841,                0.44085,                0.32973,                0.89691,               0.002773,               0.002773,               0.002773
                     75,                0.59184,                0.40796,                0.94526,                0.98677,                0.95939,                0.98611,                0.87654,                0.47211,                0.34428,                 0.9124,               0.002674,               0.002674,               0.002674
                     76,                0.59299,                0.40972,                0.94848,                0.98639,                0.96237,                0.98597,                0.88973,                0.44178,                0.33384,                0.89637,               0.002575,               0.002575,               0.002575
                     77,                0.58638,                0.40703,                0.95173,                0.98408,                0.96345,                0.98454,                 0.8988,                0.41143,                0.32165,                0.88402,               0.002476,               0.002476,               0.002476
                     78,                0.59154,                0.40456,                0.94273,                0.98468,                0.96574,                0.98617,                0.89558,                0.41695,                0.32628,                0.88769,               0.002377,               0.002377,               0.002377
                     79,                0.58608,                 0.4011,                0.95215,                 0.9873,                0.95763,                0.98453,                0.89675,                0.41677,                  0.323,                0.88724,               0.002278,               0.002278,               0.002278
                     80,                0.58373,                0.40116,                0.94714,                 0.9858,                0.96209,                0.98408,                0.88508,                0.45103,                0.33283,                0.89846,               0.002179,               0.002179,               0.002179
                     81,                0.57652,                0.40236,                0.95179,                0.98873,                 0.9628,                0.98402,                0.89481,                0.42277,                0.32051,                0.88756,                0.00208,                0.00208,                0.00208
                     82,                 0.5811,                0.39837,                0.95028,                0.98552,                0.96401,                0.98627,                 0.8987,                0.41357,                0.31446,                0.88471,               0.001981,               0.001981,               0.001981
                     83,                0.55629,                0.38446,                 0.9392,                0.99084,                0.95784,                 0.9831,                0.87987,                 0.4583,                 0.3288,                0.90674,               0.001882,               0.001882,               0.001882
                     84,                0.56402,                 0.3939,                0.95377,                0.98777,                0.96349,                0.98594,                0.89284,                0.42887,                 0.3233,                0.88553,               0.001783,               0.001783,               0.001783
